a,z,V,c,s
-1,0.8,-51.3750013370021,0.79,0
-1,0.825,-51.2604230879284,0.815,0
-1,0.85,-51.1451489550317,0.84,0
-1,0.875,-51.0332532955314,0.865,0
-1,0.9,-50.9247149864981,0.89,0
-1,0.925,-50.8193591803742,0.915,0
-1,0.95,-50.7170248963393,0.94,0
-1,0.975,-50.6175834617994,0.965,0
-1,1,-50.5209983842778,0.99,0
-1,1.025,-50.4284002765242,1.015,0
-1,1.05,-50.338262215172,1.04,0
-1,1.075,-50.2500960548916,1.04920360341927,0.0157963965807335
-1,1.1,-50.1634674151327,1.05698355992806,0.0330164400719442
-1,1.125,-50.0781471433129,1.06422418979168,0.0507758102083176
-1,1.15,-49.9939921930057,1.07101108765438,0.0689889123456191
-1,1.175,-49.9110139654052,1.07740636423109,0.0875936357689138
-1,1.2,-49.8319469940187,1.08327548613487,0.106724513865133
-0.91796875,0.8,-51.2668368620807,0.870857991495654,-0.0800376789956535
-0.91796875,0.825,-51.1569849841233,0.890531712068494,-0.0747113995684943
-0.91796875,0.85,-51.0461756096959,0.910396416949723,-0.069576104449723
-0.91796875,0.875,-50.9383846922632,0.929883221283243,-0.0640629087832429
-0.91796875,0.9,-50.8336119343879,0.948906018749432,-0.0580857062494322
-0.91796875,0.925,-50.7317007246414,0.967370316356474,-0.0515500038564742
-0.91796875,0.95,-50.6325014209154,0.98514689241463,-0.04432657991463
-0.91796875,0.975,-50.5358871991667,1.00204810277234,-0.0362277902723365
-0.91796875,1,-50.4418043943332,1.01775572192762,-0.0269354094276174
-0.91796875,1.025,-50.3511998980581,1.03081314986966,-0.0149928373696615
-0.91796875,1.05,-50.2625335865449,1.0408203125,0
-0.91796875,1.075,-50.1755782963531,1.0571626957943,0.00865761670569931
-0.91796875,1.1,-50.0900425994538,1.06421393563184,0.0266063768681626
-0.91796875,1.125,-50.0057180452219,1.07086053940739,0.0449597730926072
-0.91796875,1.15,-49.9224781393948,1.07716491081626,0.0636554016837354
-0.91796875,1.175,-49.8403463793835,1.08316331440181,0.0826569980981899
-0.91796875,1.2,-49.7620430791474,1.08870840209558,0.102111910404419
-0.8359375,0.8,-51.1662664554422,0.903138927115145,-0.111498302115145
-0.8359375,0.825,-51.0601986293337,0.92062464756043,-0.10398402256043
-0.8359375,0.85,-50.9529919179242,0.938252452962538,-0.0966118279625379
-0.8359375,0.875,-50.84851439957,0.955391969801784,-0.0887513448017841
-0.8359375,0.9,-50.7467765800826,0.97194429380835,-0.08030366880835
-0.8359375,0.925,-50.6476324670944,0.987810507946962,-0.071169882946962
-0.8359375,0.95,-50.5509385285312,1.00286703410145,-0.0612264091014481
-0.8359375,0.975,-50.4565682809877,1.01695391741402,-0.0503132924140189
-0.8359375,1,-50.3644571207698,1.02983384331412,-0.0381932183141187
-0.8359375,1.025,-50.2754249965306,1.04046379925609,-0.0238231742560866
-0.8359375,1.05,-50.18807278602,1.04960481477349,-0.00796418977349167
-0.8359375,1.075,-50.1021783622658,1.06386259906069,0.00277802593930976
-0.8359375,1.1,-50.01761210564,1.07049462138778,0.0211460036122191
-0.8359375,1.125,-49.9341838824469,1.07678758746616,0.0398530375338357
-0.8359375,1.15,-49.8517788686536,1.08277771200145,0.0588629129985485
-0.8359375,1.175,-49.7704279853545,1.08849351030312,0.0781471146968835
-0.8359375,1.2,-49.6928350980897,1.09379247386755,0.0978481511324536
-0.75390625,0.8,-51.0707507646752,0.926728041352469,-0.134267103852469
-0.75390625,0.825,-50.9678717392121,0.942595931858494,-0.125134994358494
-0.75390625,0.85,-50.8637114149048,0.958542449295532,-0.116081511795532
-0.75390625,0.875,-50.762034793229,0.973941367777072,-0.106480430277072
-0.75390625,0.9,-50.6628589333938,0.988696545037063,-0.0962356075370626
-0.75390625,0.925,-50.5660457643262,1.0027206843205,-0.0852597468205021
-0.75390625,0.95,-50.4714571624681,1.01591413588877,-0.0734531983887678
-0.75390625,0.975,-50.3789691303345,1.02816112922343,-0.060700191723431
-0.75390625,1,-50.2885132055688,1.03930537489145,-0.0468444373914476
-0.75390625,1.025,-50.2008188438083,1.04858186471255,-0.0311209272125532
-0.75390625,1.05,-50.1146220084438,1.05679674234917,-0.0143358048491664
-0.75390625,1.075,-50.0297000207491,1.0674609375,0
-0.75390625,1.1,-49.9460290306717,1.07650461336123,0.0159563241387661
-0.75390625,1.125,-49.8634350547337,1.08243147989998,0.0350294576000176
-0.75390625,1.15,-49.7818106666036,1.08810456204681,0.0543563754531864
-0.75390625,1.175,-49.7011926753303,1.09355006097238,0.0739108765276157
-0.75390625,1.2,-49.6242689949115,1.09862522094401,0.0938357165559855
-0.671875,0.8,-50.9790349029042,0.945730595439664,-0.152449345439663
-0.671875,0.825,-50.8789145189223,0.960282607048932,-0.142001357048931
-0.671875,0.85,-50.7773942429731,0.974857334033128,-0.131576084033128
-0.671875,0.875,-50.6781439537529,0.988854500790812,-0.120573250790812
-0.671875,0.9,-50.5811854385105,1.00218776123152,-0.108906511231519
-0.671875,0.925,-50.4863877212359,1.01478689049198,-0.0965056404919836
-0.671875,0.95,-50.3936186604759,1.02657912795611,-0.083297877956111
-0.671875,0.975,-50.3027590507538,1.03748889584343,-0.0692076458434312
-0.671875,1,-50.213741474079,1.04742020163476,-0.0541389516347645
-0.671875,1.025,-50.1272281863524,1.05579189396735,-0.0375106439673487
-0.671875,1.05,-50.042076104282,1.06336709139292,-0.0200858413929208
-0.671875,1.075,-49.9580886132375,1.07028283373745,-0.00200158373744874
-0.671875,1.1,-49.8752430034461,1.08194335202159,0.0113378979784136
-0.671875,1.125,-49.7934220847372,1.08761104559034,0.0306702044096592
-0.671875,1.15,-49.7125258507296,1.09305821896873,0.0502230310312703
-0.671875,1.175,-49.632596169971,1.09830756513777,0.0699736848622279
-0.671875,1.2,-49.5563047963828,1.103215916945,0.0900653330550005
-0.58984375,0.8,-50.8903537985487,0.961776404746658,-0.167674842246658
-0.58984375,0.825,-50.7926600420979,0.975211563084906,-0.156110000584906
-0.58984375,0.85,-50.6934644920569,0.988625248272131,-0.144523685772131
-0.58984375,0.875,-50.5963502717795,1.00145118654882,-0.132349624048818
